fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
60,2024-12-31,balanced,15,4,60,5,0.12025792219750425,12,0.4565299423751162,True
60,2024-12-31,flexible,31,5,40,5,0.09640788670537574,12,0.47330771517629106,False
60,2024-12-31,regularized,15,4,40,12,0.0804422233434771,12,0.4584971490419907,False
61,2025-01-31,shallow,7,3,80,28,0.08897344557983357,12,0.46006855909238964,False
61,2025-01-31,balanced,15,4,60,5,0.12025792219750425,12,0.4565299423751162,True
61,2025-01-31,flexible,31,5,40,5,0.09640788670537574,12,0.47330771517629106,False
61,2025-01-31,regularized,15,4,40,12,0.0804422233434771,12,0.4584971490419907,False
62,2025-02-28,shallow,7,3,80,32,0.11805759838386289,12,0.46289086384950556,True
62,2025-02-28,balanced,15,4,60,20,0.0714757875311045,12,0.4660239010420149,False
62,2025-02-28,flexible,31,5,40,11,0.10481247574208587,12,0.45702658416227043,False
62,2025-02-28,regularized,15,4,40,27,0.10284940309303976,12,0.4649662960240734,False
63,2025-03-31,shallow,7,3,80,54,0.04654661864745898,12,0.426890232099278,False
63,2025-03-31,balanced,15,4,60,57,0.021944777911164472,12,0.410424211160886,False
63,2025-03-31,flexible,31,5,40,6,0.06654673436830005,12,0.4190755229860124,True
63,2025-03-31,regularized,15,4,40,53,0.026650660264105643,12,0.4277832505992564,False
64,2025-04-30,shallow,7,3,80,32,0.004114410933599991,12,0.4341024878364585,False
64,2025-04-30,balanced,15,4,60,14,0.04546550692601956,12,0.42794651879607454,True
64,2025-04-30,flexible,31,5,40,23,0.03089458748474967,12,0.41401820328491007,False
64,2025-04-30,regularized,15,4,40,19,0.0304415165763245,12,0.4346695243792899,False
65,2025-05-30,shallow,7,3,80,36,-0.0026279262400380637,12,0.442979221892492,False
65,2025-05-30,balanced,15,4,60,37,0.004665866346538609,12,0.4032954403000946,False
65,2025-05-30,flexible,31,5,40,30,0.035505698347624744,12,0.40287188666037155,True
65,2025-05-30,regularized,15,4,40,27,0.023452265855069054,12,0.4430142615830936,False
66,2025-06-30,shallow,7,3,80,36,-0.0026279262400380637,12,0.442979221892492,False
66,2025-06-30,balanced,15,4,60,37,0.004665866346538609,12,0.4032954403000946,False
66,2025-06-30,flexible,31,5,40,30,0.035505698347624744,12,0.40287188666037155,True
66,2025-06-30,regularized,15,4,40,27,0.023452265855069054,12,0.4430142615830936,False
67,2025-07-31,shallow,7,3,80,2,0.030994046480283217,12,0.41259657107481135,True
67,2025-07-31,balanced,15,4,60,51,0.012725090036014403,12,0.4265194476390967,False
67,2025-07-31,flexible,31,5,40,54,0.009347739095638255,12,0.4231213850303593,False
67,2025-07-31,regularized,15,4,40,30,-0.006297866529361785,12,0.426496077212577,False
68,2025-08-29,shallow,7,3,80,18,0.04881771928282494,12,0.424470430746116,False
68,2025-08-29,balanced,15,4,60,29,0.06470949674994667,12,0.461734288105127,True
68,2025-08-29,flexible,31,5,40,43,0.06213685474189675,12,0.44667997220179784,False
68,2025-08-29,regularized,15,4,40,107,0.06149659863945578,12,0.42139599815220613,False
69,2025-09-30,shallow,7,3,80,52,0.07521717692854978,12,0.47240196528729017,True
69,2025-09-30,balanced,15,4,60,42,0.03198079231692677,12,0.47570011433597476,False
69,2025-09-30,flexible,31,5,40,27,0.029796904955466084,12,0.4454841219984398,False
69,2025-09-30,regularized,15,4,40,14,0.06020305692054748,12,0.4765817828076289,False
70,2025-10-31,shallow,7,3,80,40,0.06876807330012699,12,0.44072849450636437,True
70,2025-10-31,balanced,15,4,60,4,0.060596135652181964,12,0.44125742168483245,False
70,2025-10-31,flexible,31,5,40,92,0.05658263305322129,12,0.44863183258972233,False
70,2025-10-31,regularized,15,4,40,26,0.06064198050282582,12,0.47181104360600373,False
71,2025-11-28,shallow,7,3,80,40,0.06876807330012699,12,0.44072849450636437,True
