first_signal,second_signal,months,mean_correlation,median_correlation,mean_absolute_correlation,maximum_absolute_correlation
momentum_12_1_sector_neutral,beta_60d_market_sector_neutral,60,0.177234093637455,0.2552220888355342,0.33007923169267706,0.7289795918367347
return_3m_sector_neutral,downside_volatility_60d_sector_neutral,69,-0.3240217826260939,-0.31476590636254503,0.3247970492544844,0.6326530612244897
volatility_20d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,70,0.2927909449494083,0.3072749099639856,0.3117187446407134,0.6158463385354142
momentum_12_1_sector_neutral,return_3m_sector_neutral,60,0.2879199679871949,0.30012004801920766,0.3003921568627451,0.6966146458583433
downside_volatility_60d_sector_neutral,distance_sma_200d_sector_neutral,63,-0.27569961317860475,-0.25915966386554623,0.29738905085843864,0.6749099639855942
momentum_6_1_sector_neutral,positive_day_ratio_60d_sector_neutral,66,0.28668413007644816,0.2958248601754706,0.2959629637511041,0.6517134707105005
downside_volatility_60d_sector_neutral,distance_sma_50d_sector_neutral,70,-0.26962099125364436,-0.2798559423769508,0.2950903790087464,0.8030252100840336
distance_sma_50d_sector_neutral,sma_50_200_spread_sector_neutral,63,0.252240324701309,0.2564705882352941,0.2789893100097181,0.6674189675870348
reversal_1m_sector_neutral,positive_day_ratio_60d_sector_neutral,70,-0.275254825834889,-0.2825922271750261,0.27841046338192776,0.6380556912287149
return_1m_sector_neutral,positive_day_ratio_60d_sector_neutral,70,0.275254825834889,0.2825922271750261,0.27841046338192776,0.6380556912287149
beta_60d_market_sector_neutral,sma_50_200_spread_sector_neutral,63,0.10218716057851711,0.10357743097238895,0.2772484231787952,0.6153661464585835
max_drawdown_126d_sector_neutral,distance_sma_50d_sector_neutral,66,0.1655265742660701,0.1663865546218487,0.27361781076066793,0.7437695078031212
volatility_60d_sector_neutral,sma_50_200_spread_sector_neutral,63,-0.016273938146687244,-4.801920768307323e-05,0.27027725375864636,0.6205522208883553
downside_volatility_60d_sector_neutral,sma_50_200_spread_sector_neutral,63,-0.18754854322681455,-0.1757983193277311,0.26580918081518323,0.6235294117647059
return_1w_sector_neutral,distance_sma_200d_sector_neutral,63,0.2259227500524019,0.21162064825930374,0.264713123344576,0.7484753901560625
volatility_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,72,0.2534440442843804,0.2546458583433373,0.26377617713752166,0.5730132052821129
momentum_12_1_sector_neutral,volatility_60d_sector_neutral,60,0.0529875950380152,0.13896758703481393,0.26324609843937574,0.5405522208883553
max_drawdown_126d_sector_neutral,positive_day_ratio_60d_sector_neutral,66,0.24205788085723057,0.23659087877400137,0.2539570006362912,0.5554141480799049
volatility_60d_sector_neutral,distance_sma_200d_sector_neutral,63,0.005157872672878666,0.07591836734693877,0.2532555879494655,0.5274909963985595
