signal_date,execution_date,strategy_name,pre_trade_nav,post_cost_investable_value,cash_before,cash_after,transaction_cost,transaction_cost_fraction,buy_notional,sell_notional,traded_notional,two_way_turnover,one_way_turnover,holdings_before,holdings_after,maximum_target_weight,maximum_sector_target_weight
2023-09-29,2023-10-02,momentum_3m_top20_equal_weight,1706557.9699717094,1705844.4166955766,7.726612238911912e-09,7.089624887157697e-09,713.5532761254698,0.0004181242528417003,356419.8614246724,357133.4147007971,713553.2761254697,0.41812425284170024,0.2092711885472707,20,20,0.05,0.15000000000000002
2023-09-29,2023-10-02,ridge_top20_equal_weight,2251776.3230823977,2250799.8170719324,6.5710992203094065e-09,6.655000106547959e-09,976.5060104586689,0.0004336603065094651,487764.7522241052,488741.2582345638,976506.0104586689,0.43366030650946513,0.21704698340798728,20,20,0.05,0.15000000000000002
2023-09-29,2023-10-02,universe_equal_weight,1727240.8195864572,1727177.070748243,5.370736744225724e-09,8.300759191115503e-09,63.748838205670125,3.690790391402001e-05,31842.54468373083,31906.293521939297,63748.83820567012,0.036907903914020004,0.018472405908967822,50,50,0.02,0.16
2023-10-31,2023-11-01,elastic_net_score_weighted,2133690.8661802053,2132470.3015703657,2.03522176889237e-09,9.574023351888172e-09,1220.564609830007,0.0005720437900243238,609672.0226100846,610892.5872199223,1220564.609830007,0.5720437900243238,0.2863079169071759,25,25,0.05,0.16351905855384463
2023-10-31,2023-11-01,elastic_net_top20_equal_weight,2209650.589899763,2208455.0957389576,7.591893336211797e-09,-1.8849277694243938e-10,1195.4941608055517,0.0005410331236395991,597149.333322377,598344.8274831746,1195494.1608055516,0.5410331236395991,0.2707870783816176,20,20,0.05,0.15000000000000002
2023-10-31,2023-11-01,momentum_3m_top20_equal_weight,1666163.1319265678,1664988.6672910934,7.089624887157697e-09,-1.5859313862165436e-09,1174.4646354757276,0.0007048917437740361,586645.0854201302,587819.5500555974,1174464.6354757275,0.704891743774036,0.3527983177589025,20,20,0.05,0.15000000000000002
2023-10-31,2023-11-01,ridge_top20_equal_weight,2244756.5297124106,2243542.0420753323,6.655000106547959e-09,-2.3032953322399408e-09,1214.4876370806928,0.0005410331236395994,606636.5747218106,607851.0623588822,1214487.6370806927,0.5410331236395993,0.2707870783816175,20,20,0.05,0.15000000000000002
2023-10-31,2023-11-01,universe_equal_weight,1700398.2053124646,1700316.8533165324,8.300759191115503e-09,-2.3641462121304357e-09,81.35199593430244,4.7842908608194644e-05,40635.321969189325,40716.673965113114,81351.99593430244,0.047842908608194644,0.023945375758398328,50,50,0.02,0.16
2023-11-30,2023-12-01,elastic_net_score_weighted,2318923.7964797434,2317537.8646075428,9.574023351888172e-09,-5.195261110202409e-09,1385.9318722058817,0.0005976616714657913,692272.9701668456,693658.9020390362,1385931.8722058816,0.5976616714657912,0.2991296665686252,25,25,0.05,0.16502568245360016
2023-11-30,2023-12-01,elastic_net_top20_equal_weight,2404948.7341225594,2402956.3120143497,-1.8849277694243938e-10,6.501750249299221e-09,1992.4221082031902,0.0008284676009653575,995214.8430474906,997207.2651556998,1992422.1082031901,0.8284676009653574,0.4146480342831627,20,20,0.05,0.2
2023-11-30,2023-12-01,momentum_3m_top20_equal_weight,1737650.9146907772,1735900.6997483736,-1.5859313862165436e-09,2.8637714422075078e-09,1750.2149424007396,0.001007230467065474,874232.3637291673,875982.5786715725,1750214.9424007395,1.007230467065474,0.5041188487662711,20,20,0.05,0.15000000000000002
2023-11-30,2023-12-01,ridge_top20_equal_weight,2442709.7551601776,2440930.2800353616,-2.3032953322399408e-09,-1.748048816807568e-09,1779.4751248176926,0.0007284840620374915,888847.8248464373,890627.2999712552,1779475.1248176927,0.7284840620374916,0.36460627304976456,20,20,0.05,0.2
2023-11-30,2023-12-01,universe_equal_weight,1823442.3024461581,1823360.515051594,-2.3641462121304357e-09,-5.245212264526344e-09,81.78739456937835,4.485329448574276e-05,40852.80358740607,40934.59098197227,81787.39456937835,0.04485329448574276,0.02244907389011338,50,50,0.02,0.16
2023-12-29,2024-01-02,elastic_net_score_weighted,2403769.194451597,2403052.1036662823,-5.195261110202409e-09,4.4573198465514e-09,717.090785310803,0.0002983193174145,358186.8472627412,358903.9380480618,717090.785310803,0.2983193174145,0.1493088183659593,25,25,0.05,0.17252804796936505
2023-12-29,2024-01-02,elastic_net_top20_equal_weight,2490420.304014607,2489345.240582182,6.501750249299221e-09,-8.00855559646152e-09,1075.0634324328034,0.0004316795163851579,536994.1845001928,538069.2479326107,1075063.4324328033,0.4316795163851579,0.21605559795076856,20,20,0.05,0.15000000000000002
2023-12-29,2024-01-02,momentum_3m_top20_equal_weight,1811544.9526584279,1810417.429055824,2.8637714422075078e-09,3.483364707790315e-09,1127.5236025999857,0.0006224099495545798,563198.0394986924,564325.5631012933,1127523.6025999857,0.6224099495545797,0.3115161797520674,20,20,0.05,0.2
2023-12-29,2024-01-02,ridge_top20_equal_weight,2529776.4673000854,2528926.580376253,-1.748048816807568e-09,5.758920451626182e-09,849.8869238261286,0.0003359533677428718,424518.518451147,425368.4053749814,849886.9238261286,0.33595336774287177,0.1681446605553089,20,20,0.05,0.2
2023-12-29,2024-01-02,universe_equal_weight,1908865.5119056706,1908780.1153751216,-5.245212264526344e-09,-4.768722305925621e-09,85.39653055357782,4.4736797862896174e-05,42655.5670115117,42740.9635420661,85396.53055357782,0.04473679786289617,0.022390767330379747,50,50,0.02,0.16
2024-01-31,2024-02-01,elastic_net_score_weighted,2454662.7332475493,2453641.5423883544,4.4573198465514e-09,1.7280399333685637e-11,1021.190859195759,0.000416020842849034,510084.83416828397,511106.025027475,1021190.8591957589,0.416020842849034,0.20821843184594058,25,25,0.05,0.1691371393091663
2024-01-31,2024-02-01,elastic_net_top20_equal_weight,2534432.1644997695,2533522.701810946,-8.00855559646152e-09,-3.1812987799639814e-09,909.4626888264119,0.00035884278205012285,454276.61306879076,455186.07575762115,909462.6888264118,0.3588427820501228,0.17960081241608727,20,20,0.05,0.15000000000000002
2024-01-31,2024-02-01,momentum_3m_top20_equal_weight,1861490.2773366855,1860335.8248347035,3.483364707790315e-09,9.57811607804615e-09,1154.4525019724067,0.0006201764876387814,576649.024735214,577803.4772371923,1154452.5019724066,0.6201764876387814,0.3103983320632116,20,20,0.05,0.2
2024-01-31,2024-02-01,ridge_top20_equal_weight,2581186.6047266345,2579996.36849769,5.758920451626182e-09,5.122501534060575e-09,1190.23622893868,0.00046111979147851425,594522.9963548706,595713.2325838092,1190236.22893868,0.4611197914785143,0.23079045563499634,20,20,0.05,0.15000000000000002
2024-01-31,2024-02-01,universe_equal_weight,1950389.0104295337,1950284.926025474,-4.768722305925621e-09,-3.882334453919611e-09,104.0844040635681,5.33659713559633e-05,51990.15982975201,52094.24423381609,104084.4040635681,0.0533659713559633,0.026709668663659765,50,50,0.02,0.16
2024-02-29,2024-03-01,elastic_net_score_weighted,2604321.7547716517,2603313.915690124,1.7280399333685637e-11,1.850821718107909e-10,1007.8390815279458,0.0003869871607382528,503415.6212232087,504423.4603047369,1007839.0815279458,0.38698716073825284,0.19368707394949555,25,25,0.05,0.14066828624484534
2024-02-29,2024-03-01,elastic_net_top20_equal_weight,2700960.4601761242,2699757.8834387898,-3.1812987799639814e-09,4.997900759917684e-09,1202.5767373294882,0.0004452404080180687,600687.080296075,601889.657033413,1202576.7373294882,0.4452404080180687,0.2228428242130449,20,20,0.05,0.15000000000000002
2024-02-29,2024-03-01,momentum_3m_top20_equal_weight,2026998.0862063994,2026133.006170081,9.57811607804615e-09,-5.001083991373889e-10,865.0800363188954,0.0004267789112410679,432107.47814129334,432972.55817760195,865080.0363188954,0.42677891124106787,0.2136028450761519,20,20,0.05,0.15000000000000002
2024-02-29,2024-03-01,ridge_top20_equal_weight,2750505.520921228,2749280.884720833,5.122501534060575e-09,4.027015165775083e-09,1224.63620039092,0.0004452404080180694,611705.7820952653,612930.4182956547,1224636.20039092,0.4452404080180694,0.22284282421304344,20,20,0.05,0.15000000000000002
2024-02-29,2024-03-01,universe_equal_weight,2049429.2558503307,2049329.3806556547,-3.882334453919611e-09,7.506173460569698e-11,99.87519467591252,4.8733175049008074e-05,49887.6597406162,49987.534935296324,99875.19467591253,0.04873317504900808,0.02439095411202957,50,50,0.02,0.16
2024-03-28,2024-04-01,elastic_net_score_weighted,2712983.8908414743,2711482.6951157283,1.850821718107909e-10,7.091784937074408e-09,1501.1957257388954,0.0005533375007520875,749847.2650065743,751348.4607323208,1501195.7257388954,0.5533375007520874,0.2769454191264211,25,25,0.05,0.1660514011725866
2024-03-28,2024-04-01,elastic_net_top20_equal_weight,2829635.2651974685,2827849.0022488516,4.997900759917684e-09,1.6398189472965896e-09,1786.2629486152337,0.0006312696800838669,892238.342833311,894024.6057819227,1786262.9486152336,0.6312696800838669,0.31595047488197475,20,20,0.05,0.2
2024-03-28,2024-04-01,momentum_3m_top20_equal_weight,2091421.6806107066,2090140.901298909,-5.001083991373889e-10,1.4076704246690497e-09,1280.779311796174,0.0006123964974017958,639749.2662421879,641030.0455539858,1280779.311796174,0.6123964974017958,0.3065044469495991,20,20,0.05,0.15000000000000002
2024-03-28,2024-04-01,ridge_top20_equal_weight,2881540.671873268,2879671.072804695,4.027015165775083e-09,7.539483704022132e-09,1869.599068565671,0.0006488192538161395,933864.7347485509,935734.3338171201,1869599.0685656709,0.6488192538161394,0.3247340365349784,20,20,0.05,0.2
2024-03-28,2024-04-01,universe_equal_weight,2118958.499720655,2118874.4244015208,7.506173460569698e-11,-4.5282178007255425e-09,84.07531913869282,3.967766199752217e-05,41995.62190977937,42079.69722891345,84075.31913869282,0.03967766199752217,0.019858669829758757,50,50,0.02,0.16
