as_of_date,sector,portfolio_weight,universe_equal_weight,active_weight,positions,component_risk,risk_contribution_share
2021-09-30,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.023829084769175838,0.15341805432289
2021-09-30,Health Care,0.1,0.14,-0.04000000000000001,2,0.007760350107960915,0.049963220407351405
2021-09-30,Energy,0.05,0.06,-0.009999999999999995,1,0.012453746613755437,0.08018056895681272
2021-09-30,Industrials,0.05,0.1,-0.05,1,0.0066459352123427505,0.04278831769286085
2021-09-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.004050443809087565,0.026077846226735375
2021-10-29,Information Technology,0.25,0.16,0.09,5,0.04205601983862857,0.3080281016945337
2021-10-29,Consumer Discretionary,0.15000000000000002,0.12,0.030000000000000027,3,0.02366714910079726,0.17334372196924
2021-10-29,Financials,0.15000000000000002,0.14,0.010000000000000009,3,0.022773298385329967,0.16679695077833429
2021-10-29,Health Care,0.1,0.14,-0.04000000000000001,2,0.009325775462872044,0.06830415535469778
2021-10-29,Industrials,0.1,0.1,0.0,2,0.010099115601413494,0.07396827896299782
2021-10-29,Communication Services,0.05,0.08,-0.03,1,0.008017829896362242,0.05872445685926988
2021-10-29,Consumer Staples,0.05,0.1,-0.05,1,0.004112402433803347,0.030120194919751424
2021-10-29,Energy,0.05,0.06,-0.009999999999999995,1,0.009079607593451467,0.06650116444384221
2021-10-29,Real Estate,0.05,0.02,0.030000000000000002,1,0.004453861458083264,0.03262112048187044
2021-10-29,Utilities,0.05,0.04,0.010000000000000002,1,0.0029480020092345076,0.02159185453546211
2021-11-30,Information Technology,0.25,0.16,0.09,5,0.04157678792650128,0.30615930658776536
2021-11-30,Financials,0.2,0.14,0.06,4,0.028980150182716387,0.2134013503023484
2021-11-30,Communication Services,0.1,0.08,0.020000000000000004,2,0.012385734673355384,0.09120492775627527
2021-11-30,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.018208043867359983,0.13407870984658937
2021-11-30,Health Care,0.1,0.14,-0.04000000000000001,2,0.006299217772365381,0.046385597382895355
2021-11-30,Consumer Staples,0.05,0.1,-0.05,1,0.0038376056731996527,0.028259005816925562
2021-11-30,Energy,0.05,0.06,-0.009999999999999995,1,0.0090921400153227,0.0669518599515419
2021-11-30,Industrials,0.05,0.1,-0.05,1,0.006297006893229854,0.04636931711554332
2021-11-30,Materials,0.05,0.04,0.010000000000000002,1,0.004583635314124096,0.0337525499060725
2021-11-30,Real Estate,0.05,0.02,0.030000000000000002,1,0.0045408342427239205,0.03343737533404313
2021-12-31,Financials,0.25,0.14,0.10999999999999999,5,0.036298100677812355,0.2609497881064455
2021-12-31,Health Care,0.2,0.14,0.06,4,0.01590689147549821,0.11435584458833047
2021-12-31,Information Technology,0.2,0.16,0.04000000000000001,4,0.036731819351501174,0.26406782441918536
2021-12-31,Consumer Discretionary,0.1,0.12,-0.01999999999999999,2,0.019698228530017466,0.14161205311005254
2021-12-31,Communication Services,0.05,0.08,-0.03,1,0.00707008506547261,0.05082737568297512
2021-12-31,Consumer Staples,0.05,0.1,-0.05,1,0.0048746491953183925,0.03504422134652181
2021-12-31,Energy,0.05,0.06,-0.009999999999999995,1,0.00841337083643347,0.06048435857610223
