signal,as_of_date,quintile,observations,mean_target_21d_excess,median_target_21d_excess,mean_target_21d
dollar_volume_change_20d_60d_sector_neutral,2019-07-31,5,10,-0.007495404892460955,0.007792391488660233,-0.018682567185501632
dollar_volume_change_20d_60d_sector_neutral,2019-08-30,1,10,0.018738672340510965,0.01271683782699673,0.025462524748525617
dollar_volume_change_20d_60d_sector_neutral,2019-08-30,2,10,-0.0006313150942622414,-0.004003648681224381,0.006092537313752411
dollar_volume_change_20d_60d_sector_neutral,2019-08-30,3,10,-0.015025274970038782,-0.033210154124119595,-0.00830142256202413
dollar_volume_change_20d_60d_sector_neutral,2019-08-30,4,10,-0.008152504331494082,-0.008677094409397734,-0.0014286519234794292
dollar_volume_change_20d_60d_sector_neutral,2019-08-30,5,10,0.003286579755977781,0.009675625383475772,0.010010432163992434
dollar_volume_change_20d_60d_sector_neutral,2019-09-30,1,10,0.0007668971125905144,-0.014921171989592086,0.016876260439624237
dollar_volume_change_20d_60d_sector_neutral,2019-09-30,2,10,0.021665244925414884,-0.02181076365348944,0.037774608252448605
dollar_volume_change_20d_60d_sector_neutral,2019-09-30,3,10,0.03422583018178631,0.034948019117950424,0.05033519350882003
dollar_volume_change_20d_60d_sector_neutral,2019-09-30,4,10,0.00616296549212716,-0.002098281339831587,0.02227232881916088
dollar_volume_change_20d_60d_sector_neutral,2019-09-30,5,10,-0.0017599267889794711,0.00034732124113767693,0.01434943653805425
dollar_volume_change_20d_60d_sector_neutral,2019-10-31,1,10,0.006211298497299722,0.005370818628014695,0.034257299492157264
dollar_volume_change_20d_60d_sector_neutral,2019-10-31,2,10,-0.011832621739968163,-0.011624210524317502,0.01621337925488938
dollar_volume_change_20d_60d_sector_neutral,2019-10-31,3,10,0.01728367295146498,0.01719717313141733,0.04532967394632252
dollar_volume_change_20d_60d_sector_neutral,2019-10-31,4,10,0.004448618605773136,0.0034853588399140767,0.03249461960063068
dollar_volume_change_20d_60d_sector_neutral,2019-10-31,5,10,-0.0004900969165186897,-0.0023695367243670162,0.027555904078338855
dollar_volume_change_20d_60d_sector_neutral,2019-11-29,1,10,0.005148010788508917,0.004684765757131282,0.03231970861827595
dollar_volume_change_20d_60d_sector_neutral,2019-11-29,2,10,0.011401955664101904,-0.0020037108496219203,0.03857365349386893
dollar_volume_change_20d_60d_sector_neutral,2019-11-29,3,10,0.012472184397259278,0.0015442240900448434,0.039643882227026306
dollar_volume_change_20d_60d_sector_neutral,2019-11-29,4,10,0.023210104087899818,0.0048792455570886295,0.05038180191766685
dollar_volume_change_20d_60d_sector_neutral,2019-11-29,5,10,-0.008452625873882614,-0.012112781136588535,0.018719071955884414
dollar_volume_change_20d_60d_sector_neutral,2019-12-31,1,10,0.00603695375737825,-0.022464821892032028,-0.0005508379944552999
dollar_volume_change_20d_60d_sector_neutral,2019-12-31,2,10,0.006230255230689497,0.012730970389624563,-0.00035753652114405287
dollar_volume_change_20d_60d_sector_neutral,2019-12-31,3,10,-0.04007791496185102,-0.041680053435898756,-0.04666570671368457
dollar_volume_change_20d_60d_sector_neutral,2019-12-31,4,10,0.0078079021972334624,0.003487167127414481,0.0012201104453999135
dollar_volume_change_20d_60d_sector_neutral,2019-12-31,5,10,0.07865513078944959,0.04841519369598368,0.07206733903761604
amihud_illiquidity_20d_sector_neutral,2014-01-31,1,10,-0.002501965605210088,0.004151061032437231,0.04578230949846075
amihud_illiquidity_20d_sector_neutral,2014-01-31,2,10,-0.01955278424221444,-0.016754497550108938,0.028731490861456398
amihud_illiquidity_20d_sector_neutral,2014-01-31,3,10,0.012480415432886183,-0.0004983338796605841,0.06076469053655702
amihud_illiquidity_20d_sector_neutral,2014-01-31,4,10,0.04980933465387245,0.006307947656055357,0.09809360975754329
amihud_illiquidity_20d_sector_neutral,2014-01-31,5,10,0.05695760994773411,0.04293159315578465,0.10524188505140494
amihud_illiquidity_20d_sector_neutral,2014-02-28,1,10,0.008783630935071595,0.011358847020472962,0.0271655350953399
amihud_illiquidity_20d_sector_neutral,2014-02-28,2,10,-0.03288162276907226,0.003979659357952747,-0.014499718608803957
amihud_illiquidity_20d_sector_neutral,2014-02-28,3,10,-0.0009176650160969468,0.004904195140898238,0.017464239144171355
amihud_illiquidity_20d_sector_neutral,2014-02-28,4,10,-0.028968288689543563,-0.032378203631374336,-0.010586384529275262
amihud_illiquidity_20d_sector_neutral,2014-02-28,5,10,-0.02612808896333091,-0.029251232838475916,-0.007746184803062606
amihud_illiquidity_20d_sector_neutral,2014-03-31,1,10,0.01587493839281734,0.02817957746575317,0.01903640093247788
amihud_illiquidity_20d_sector_neutral,2014-03-31,2,10,-0.01159214532000218,-0.005509852454201325,-0.008430682780341637
amihud_illiquidity_20d_sector_neutral,2014-03-31,3,10,0.0008296396845222098,0.009188316769804805,0.003991102224182752
amihud_illiquidity_20d_sector_neutral,2014-03-31,4,10,-0.007354232829141305,-0.0003679030743949374,-0.0041927702894807625
amihud_illiquidity_20d_sector_neutral,2014-03-31,5,10,-0.009648723752196942,-0.011771119395431573,-0.006487261212536399
amihud_illiquidity_20d_sector_neutral,2014-04-30,1,10,-0.0020947016417215193,-0.004194481359437452,0.023410718304360277
amihud_illiquidity_20d_sector_neutral,2014-04-30,2,10,-0.01885968777495949,-0.025794047610133375,0.00664573217112231
amihud_illiquidity_20d_sector_neutral,2014-04-30,3,10,0.009101021389177478,0.014096806791664807,0.03460644133525927
amihud_illiquidity_20d_sector_neutral,2014-04-30,4,10,0.019010489207190895,-0.0015204987168635498,0.04451590915327269
amihud_illiquidity_20d_sector_neutral,2014-04-30,5,10,0.019142266039322453,0.010925579420282827,0.04464768598540425
amihud_illiquidity_20d_sector_neutral,2014-05-30,1,10,-0.004399109156228864,-0.004261543959907521,0.01476489105278712
amihud_illiquidity_20d_sector_neutral,2014-05-30,2,10,0.01877887239987861,0.006285137954968545,0.0379428726088946
amihud_illiquidity_20d_sector_neutral,2014-05-30,3,10,0.0039383948650707715,0.010497007057310381,0.023102395074086755
amihud_illiquidity_20d_sector_neutral,2014-05-30,4,10,0.000995694747092979,0.0006321124980679382,0.020159694956108965
amihud_illiquidity_20d_sector_neutral,2014-05-30,5,10,-0.0019238569469614442,-0.009711213579787215,0.01724014326205454
amihud_illiquidity_20d_sector_neutral,2014-06-30,1,10,0.005175437627345447,0.006602860314081527,0.012931594555099225
amihud_illiquidity_20d_sector_neutral,2014-06-30,2,10,-0.009348561898598572,-0.013474807088226626,-0.0015924049708447962
amihud_illiquidity_20d_sector_neutral,2014-06-30,3,10,-0.02040232200518719,-0.012395799370778116,-0.012646165077433413
amihud_illiquidity_20d_sector_neutral,2014-06-30,4,10,0.0037270794953923603,0.0018875927988805108,0.011483236423146137
amihud_illiquidity_20d_sector_neutral,2014-06-30,5,10,-0.002504516222607911,0.0038232767936571266,0.0052516407051458654
amihud_illiquidity_20d_sector_neutral,2014-07-31,1,10,-0.006981652030465746,-0.00647958902170398,0.03485650741564461
amihud_illiquidity_20d_sector_neutral,2014-07-31,2,10,0.028909414814240374,0.013788097717131298,0.07074757426035073
amihud_illiquidity_20d_sector_neutral,2014-07-31,3,10,-0.004515262873788351,-0.004437536164463407,0.037322896572322004
amihud_illiquidity_20d_sector_neutral,2014-07-31,4,10,0.016188363748314914,0.006110866047612906,0.05802652319442527
amihud_illiquidity_20d_sector_neutral,2014-07-31,5,10,0.006859677955484855,-0.015586105760981739,0.04869783740159521
amihud_illiquidity_20d_sector_neutral,2014-08-29,1,10,-0.014719287973032402,-0.015860788627913736,-0.010702073813173618
amihud_illiquidity_20d_sector_neutral,2014-08-29,2,10,-0.013807143277203438,0.003952450977321775,-0.009789929117344654
