as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2022-06-30,Consumer Discretionary,6,0.5272108843537415,1,0.1
2022-06-30,Consumer Staples,5,0.4244897959183674,0,0.0
2022-06-30,Energy,3,0.5782312925170068,1,0.1
2022-06-30,Financials,7,0.489795918367347,1,0.1
2022-06-30,Health Care,7,0.4752186588921283,2,0.2
2022-06-30,Industrials,5,0.41224489795918373,0,0.0
2022-06-30,Information Technology,8,0.5331632653061225,1,0.1
2022-06-30,Materials,2,0.4489795918367347,1,0.1
2022-06-30,Real Estate,1,0.9591836734693877,1,0.1
2022-06-30,Utilities,2,0.5816326530612245,0,0.0
2022-07-29,Communication Services,4,0.4387755102040817,1,0.1
2022-07-29,Consumer Discretionary,6,0.46598639455782304,1,0.1
2022-07-29,Consumer Staples,5,0.4408163265306123,0,0.0
2022-07-29,Energy,3,0.5510204081632654,1,0.1
2022-07-29,Financials,7,0.4839650145772595,2,0.2
2022-07-29,Health Care,7,0.5481049562682215,1,0.1
2022-07-29,Industrials,5,0.5142857142857142,1,0.1
2022-07-29,Information Technology,8,0.5433673469387755,3,0.3
2022-07-29,Materials,2,0.33673469387755106,0,0.0
2022-07-29,Real Estate,1,0.6122448979591837,0,0.0
2022-07-29,Utilities,2,0.5816326530612245,0,0.0
2022-08-31,Communication Services,4,0.413265306122449,1,0.1
2022-08-31,Consumer Discretionary,6,0.5170068027210885,2,0.2
2022-08-31,Consumer Staples,5,0.4408163265306122,1,0.1
2022-08-31,Energy,3,0.6122448979591837,1,0.1
2022-08-31,Financials,7,0.5014577259475218,0,0.0
2022-08-31,Health Care,7,0.4985422740524781,1,0.1
2022-08-31,Industrials,5,0.4734693877551021,1,0.1
2022-08-31,Information Technology,8,0.4936224489795918,2,0.2
2022-08-31,Materials,2,0.4081632653061224,0,0.0
2022-08-31,Real Estate,1,1.0,1,0.1
2022-08-31,Utilities,2,0.5357142857142857,0,0.0
2022-09-30,Communication Services,4,0.5051020408163266,0,0.0
