model_name,from_date,to_date,valid_transition,top_quintile_turnover,top_quintile_overlap_ratio,mean_absolute_percentile_change
ridge,2023-06-30,2023-07-31,True,0.3,0.7,0.12480000000000001
constant,2023-07-31,2023-08-31,False,,,
elastic_net,2023-07-31,2023-08-31,True,0.3,0.7,0.12239999999999998
equal_weight_composite,2023-07-31,2023-08-31,True,0.49999999999999994,0.5,0.1984
momentum_3m,2023-07-31,2023-08-31,True,0.39999999999999997,0.6,0.1552
ridge,2023-07-31,2023-08-31,True,0.49999999999999994,0.5,0.1384
constant,2023-08-31,2023-09-29,False,,,
elastic_net,2023-08-31,2023-09-29,True,0.2,0.8,0.11359999999999999
equal_weight_composite,2023-08-31,2023-09-29,True,0.6,0.4,0.21760000000000002
momentum_3m,2023-08-31,2023-09-29,True,0.49999999999999994,0.5,0.1592
ridge,2023-08-31,2023-09-29,True,0.2,0.8,0.11279999999999997
constant,2023-09-29,2023-10-31,False,,,
elastic_net,2023-09-29,2023-10-31,True,0.49999999999999994,0.5,0.19760000000000003
equal_weight_composite,2023-09-29,2023-10-31,True,0.7000000000000001,0.3,0.2176
momentum_3m,2023-09-29,2023-10-31,True,0.7000000000000001,0.3,0.25359999999999994
ridge,2023-09-29,2023-10-31,True,0.49999999999999994,0.5,0.1968
constant,2023-10-31,2023-11-30,False,,,
elastic_net,2023-10-31,2023-11-30,True,0.39999999999999997,0.6,0.17600000000000002
equal_weight_composite,2023-10-31,2023-11-30,True,0.49999999999999994,0.5,0.18239999999999998
momentum_3m,2023-10-31,2023-11-30,True,0.39999999999999997,0.6,0.22640000000000002
ridge,2023-10-31,2023-11-30,True,0.49999999999999994,0.5,0.1784
constant,2023-11-30,2023-12-29,False,,,
elastic_net,2023-11-30,2023-12-29,True,0.3,0.7,0.1296
equal_weight_composite,2023-11-30,2023-12-29,True,0.6,0.4,0.17680000000000004
momentum_3m,2023-11-30,2023-12-29,True,0.6,0.4,0.19519999999999996
ridge,2023-11-30,2023-12-29,True,0.39999999999999997,0.6,0.1424
constant,2023-12-29,2024-01-31,False,,,
elastic_net,2023-12-29,2024-01-31,True,0.39999999999999997,0.6,0.1528
equal_weight_composite,2023-12-29,2024-01-31,True,0.6,0.4,0.1856
momentum_3m,2023-12-29,2024-01-31,True,0.39999999999999997,0.6,0.1472
ridge,2023-12-29,2024-01-31,True,0.39999999999999997,0.6,0.15839999999999999
constant,2024-01-31,2024-02-29,False,,,
elastic_net,2024-01-31,2024-02-29,True,0.2,0.8,0.128
equal_weight_composite,2024-01-31,2024-02-29,True,0.39999999999999997,0.6,0.13199999999999998
momentum_3m,2024-01-31,2024-02-29,True,0.39999999999999997,0.6,0.10800000000000001
ridge,2024-01-31,2024-02-29,True,0.2,0.8,0.12720000000000004
constant,2024-02-29,2024-03-28,False,,,
elastic_net,2024-02-29,2024-03-28,True,0.39999999999999997,0.6,0.14639999999999997
equal_weight_composite,2024-02-29,2024-03-28,True,0.6,0.4,0.2176
momentum_3m,2024-02-29,2024-03-28,True,0.3,0.7,0.1424
ridge,2024-02-29,2024-03-28,True,0.39999999999999997,0.6,0.17920000000000003
constant,2024-03-28,2024-04-30,False,,,
elastic_net,2024-03-28,2024-04-30,True,0.2,0.8,0.0928
equal_weight_composite,2024-03-28,2024-04-30,True,0.49999999999999994,0.5,0.2256
momentum_3m,2024-03-28,2024-04-30,True,0.3,0.7,0.17920000000000003
ridge,2024-03-28,2024-04-30,True,0.2,0.8,0.1472
constant,2024-04-30,2024-05-31,False,,,
elastic_net,2024-04-30,2024-05-31,True,0.3,0.7,0.0736
equal_weight_composite,2024-04-30,2024-05-31,True,0.39999999999999997,0.6,0.19759999999999994
momentum_3m,2024-04-30,2024-05-31,True,0.49999999999999994,0.5,0.2032
ridge,2024-04-30,2024-05-31,True,0.49999999999999994,0.5,0.1528
constant,2024-05-31,2024-06-28,False,,,
elastic_net,2024-05-31,2024-06-28,True,0.2,0.8,0.05440000000000001
equal_weight_composite,2024-05-31,2024-06-28,True,0.49999999999999994,0.5,0.17120000000000002
momentum_3m,2024-05-31,2024-06-28,True,0.39999999999999997,0.6,0.17680000000000004
ridge,2024-05-31,2024-06-28,True,0.39999999999999997,0.6,0.132
constant,2024-06-28,2024-07-31,False,,,
elastic_net,2024-06-28,2024-07-31,True,0.49999999999999994,0.5,0.1496
equal_weight_composite,2024-06-28,2024-07-31,True,0.6,0.4,0.2152
momentum_3m,2024-06-28,2024-07-31,True,0.6,0.4,0.2072
ridge,2024-06-28,2024-07-31,True,0.49999999999999994,0.5,0.1488
constant,2024-07-31,2024-08-30,False,,,
elastic_net,2024-07-31,2024-08-30,True,0.1,0.9,0.0744
equal_weight_composite,2024-07-31,2024-08-30,True,0.49999999999999994,0.5,0.18239999999999998
momentum_3m,2024-07-31,2024-08-30,True,0.39999999999999997,0.6,0.16399999999999998
ridge,2024-07-31,2024-08-30,True,0.49999999999999994,0.5,0.1304
constant,2024-08-30,2024-09-30,False,,,
elastic_net,2024-08-30,2024-09-30,True,0.1,0.9,0.06319999999999999
equal_weight_composite,2024-08-30,2024-09-30,True,0.39999999999999997,0.6,0.20800000000000005
momentum_3m,2024-08-30,2024-09-30,True,0.6,0.4,0.172
ridge,2024-08-30,2024-09-30,True,0.49999999999999994,0.5,0.1432
constant,2024-09-30,2024-10-31,False,,,
elastic_net,2024-09-30,2024-10-31,True,0.3,0.7,0.1288
equal_weight_composite,2024-09-30,2024-10-31,True,0.49999999999999994,0.5,0.19759999999999997
momentum_3m,2024-09-30,2024-10-31,True,0.49999999999999994,0.5,0.28240000000000004
ridge,2024-09-30,2024-10-31,True,0.39999999999999997,0.6,0.17760000000000006
constant,2024-10-31,2024-11-29,False,,,
elastic_net,2024-10-31,2024-11-29,True,0.3,0.7,0.0944
equal_weight_composite,2024-10-31,2024-11-29,True,0.39999999999999997,0.6,0.1624
momentum_3m,2024-10-31,2024-11-29,True,0.3,0.7,0.1632
ridge,2024-10-31,2024-11-29,True,0.3,0.7,0.1088
constant,2024-11-29,2024-12-31,False,,,
elastic_net,2024-11-29,2024-12-31,True,0.1,0.9,0.0704
equal_weight_composite,2024-11-29,2024-12-31,True,0.49999999999999994,0.5,0.188
momentum_3m,2024-11-29,2024-12-31,True,0.39999999999999997,0.6,0.14559999999999998
ridge,2024-11-29,2024-12-31,True,0.39999999999999997,0.6,0.1272
constant,2024-12-31,2025-01-31,False,,,
elastic_net,2024-12-31,2025-01-31,True,0.2,0.8,0.09679999999999998
equal_weight_composite,2024-12-31,2025-01-31,True,0.39999999999999997,0.6,0.1752
momentum_3m,2024-12-31,2025-01-31,True,0.3,0.7,0.15200000000000002
ridge,2024-12-31,2025-01-31,True,0.39999999999999997,0.6,0.1496
constant,2025-01-31,2025-02-28,False,,,
elastic_net,2025-01-31,2025-02-28,True,0.3,0.7,0.11359999999999998
equal_weight_composite,2025-01-31,2025-02-28,True,0.39999999999999997,0.6,0.18400000000000002
momentum_3m,2025-01-31,2025-02-28,True,0.6,0.4,0.2528
ridge,2025-01-31,2025-02-28,True,0.49999999999999994,0.5,0.17759999999999998
constant,2025-02-28,2025-03-31,False,,,
elastic_net,2025-02-28,2025-03-31,True,0.2,0.8,0.06480000000000001
equal_weight_composite,2025-02-28,2025-03-31,True,0.49999999999999994,0.5,0.1864
momentum_3m,2025-02-28,2025-03-31,True,0.49999999999999994,0.5,0.20799999999999996
ridge,2025-02-28,2025-03-31,True,0.39999999999999997,0.6,0.132
constant,2025-03-31,2025-04-30,False,,,
elastic_net,2025-03-31,2025-04-30,True,0.39999999999999997,0.6,0.1512
equal_weight_composite,2025-03-31,2025-04-30,True,0.6,0.4,0.21439999999999998
momentum_3m,2025-03-31,2025-04-30,True,0.3,0.7,0.16719999999999996
ridge,2025-03-31,2025-04-30,True,0.2,0.8,0.14880000000000002
constant,2025-04-30,2025-05-30,False,,,
elastic_net,2025-04-30,2025-05-30,True,0.1,0.9,0.0544
equal_weight_composite,2025-04-30,2025-05-30,True,0.3,0.7,0.14479999999999998
momentum_3m,2025-04-30,2025-05-30,True,0.49999999999999994,0.5,0.2024
ridge,2025-04-30,2025-05-30,True,0.39999999999999997,0.6,0.1352
constant,2025-05-30,2025-06-30,False,,,
elastic_net,2025-05-30,2025-06-30,True,0.0,1.0,0.0512
equal_weight_composite,2025-05-30,2025-06-30,True,0.3,0.7,0.12400000000000003
momentum_3m,2025-05-30,2025-06-30,True,0.49999999999999994,0.5,0.20000000000000004
ridge,2025-05-30,2025-06-30,True,0.3,0.7,0.09519999999999999
constant,2025-06-30,2025-07-31,False,,,
elastic_net,2025-06-30,2025-07-31,True,0.49999999999999994,0.5,0.15439999999999998
equal_weight_composite,2025-06-30,2025-07-31,True,0.39999999999999997,0.6,0.1448
momentum_3m,2025-06-30,2025-07-31,True,0.49999999999999994,0.5,0.1576
ridge,2025-06-30,2025-07-31,True,0.2,0.8,0.09200000000000001
constant,2025-07-31,2025-08-29,False,,,
elastic_net,2025-07-31,2025-08-29,True,0.1,0.9,0.08
equal_weight_composite,2025-07-31,2025-08-29,True,0.6,0.4,0.16639999999999996
momentum_3m,2025-07-31,2025-08-29,True,0.39999999999999997,0.6,0.1464
ridge,2025-07-31,2025-08-29,True,0.2,0.8,0.08959999999999999
constant,2025-08-29,2025-09-30,False,,,
elastic_net,2025-08-29,2025-09-30,True,0.2,0.8,0.0864
equal_weight_composite,2025-08-29,2025-09-30,True,0.49999999999999994,0.5,0.1424
