signal,sector,months,mean_ic,median_ic,preferred_direction,directional_mean_ic,directional_month_ratio
volatility_20d_sector_neutral,Health Care,72,0.02827380952380952,0.053571428571428575,higher_is_better,0.02827380952380952,0.5416666666666666
volatility_20d_sector_neutral,Industrials,72,-0.022222222222222213,0.09999999999999999,higher_is_better,-0.022222222222222213,0.5138888888888888
volatility_20d_sector_neutral,Information Technology,72,0.07804232804232805,0.10714285714285715,higher_is_better,0.07804232804232805,0.6111111111111112
volatility_60d_sector_neutral,Communication Services,70,0.12000000000000001,0.19999999999999998,higher_is_better,0.12000000000000001,0.5857142857142857
volatility_60d_sector_neutral,Consumer Discretionary,70,-0.011428571428571437,-0.028571428571428574,higher_is_better,-0.011428571428571437,0.4714285714285714
volatility_60d_sector_neutral,Consumer Staples,70,-0.01999999999999999,-0.09999999999999999,higher_is_better,-0.01999999999999999,0.44285714285714284
volatility_60d_sector_neutral,Energy,70,-0.07142857142857142,-0.5,higher_is_better,-0.07142857142857142,0.4714285714285714
volatility_60d_sector_neutral,Financials,70,0.056122448979591844,0.14285714285714288,higher_is_better,0.056122448979591844,0.5571428571428572
volatility_60d_sector_neutral,Health Care,70,0.06071428571428574,0.07142857142857144,higher_is_better,0.06071428571428574,0.5714285714285714
volatility_60d_sector_neutral,Industrials,70,-0.03142857142857142,-0.09999999999999999,higher_is_better,-0.03142857142857142,0.42857142857142855
volatility_60d_sector_neutral,Information Technology,70,0.06360544217687075,0.08333333333333334,higher_is_better,0.06360544217687075,0.5714285714285714
