date,strategy_name,portfolio_value,drawdown
2023-04-25,spy_buy_and_hold,1321096.2199121644,-0.1328570275337938
2023-04-25,universe_equal_weight,1652057.7835398507,-0.044948676892444306
2023-04-26,elastic_net_score_weighted,1927020.8563841127,-0.0338299932860372
2023-04-26,elastic_net_top20_equal_weight,1985966.2059132375,-0.03394692373910324
2023-04-26,momentum_3m_top20_equal_weight,1580359.5003762254,-0.1374748367346138
2023-04-26,ridge_top20_equal_weight,2008546.2793852652,-0.03394692373910335
2023-04-26,spy_buy_and_hold,1315500.7792139729,-0.13652977067404048
2023-04-26,universe_equal_weight,1632317.3589933792,-0.05636057711146458
2023-04-27,elastic_net_score_weighted,1969211.0755428525,-0.012676654860654835
2023-04-27,elastic_net_top20_equal_weight,2028023.1007672544,-0.013488774687659078
2023-04-27,momentum_3m_top20_equal_weight,1609867.7689931411,-0.12136987821066725
2023-04-27,ridge_top20_equal_weight,2051081.3534615575,-0.013488774687659189
2023-04-27,spy_buy_and_hold,1341689.5518024121,-0.11933994773359591
2023-04-27,universe_equal_weight,1659073.6257259345,-0.04089283246055275
2023-04-28,elastic_net_score_weighted,1989503.733134959,-0.0025023191459917493
2023-04-28,elastic_net_top20_equal_weight,2049219.6671155721,-0.0031779204213628898
2023-04-28,momentum_3m_top20_equal_weight,1625863.4137034535,-0.11263981010780022
2023-04-28,ridge_top20_equal_weight,2072518.9209024797,-0.0031779204213627787
2023-04-28,spy_buy_and_hold,1353141.1986299837,-0.11182329987705009
2023-04-28,universe_equal_weight,1675430.6868830477,-0.03143684789639345
2023-05-01,elastic_net_score_weighted,1989875.111695337,-0.002316117307550103
2023-05-01,elastic_net_top20_equal_weight,2049410.6480450388,-0.003085019689281432
2023-05-01,momentum_3m_top20_equal_weight,1629106.2732153374,-0.11086992931215311
2023-05-01,ridge_top20_equal_weight,2072712.0732502756,-0.003085019689280988
2023-05-01,spy_buy_and_hold,1351775.1022199455,-0.11271998013683815
2023-05-01,universe_equal_weight,1676975.4325050963,-0.030543833520685015
2023-05-02,elastic_net_score_weighted,1960543.041819946,-0.017022634911940893
2023-05-02,elastic_net_top20_equal_weight,2018599.8836646823,-0.018072602873208665
