as_of_date,assets,observations,window_start_date,window_end_date,shrinkage,minimum_eigenvalue,maximum_eigenvalue,sample_condition_number,shrinkage_condition_number,mean_pairwise_correlation,median_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation
2025-05-30,50,252,2024-05-29,2025-05-30,0.10340725716047333,0.014535090790280234,1.8003717867906182,486.5673758944395,123.86381432130756,0.26032194816535587,0.2682899733803685,0.7704651669048763,-0.2862943898485494
2025-06-30,50,252,2024-06-27,2025-06-30,0.1026336355881643,0.014429965087185978,1.816726086262746,503.7407510266976,125.89954828622763,0.26180805331176954,0.26598493227504827,0.7779441944958265,-0.26933258204419863
2025-07-31,50,252,2024-07-30,2025-07-31,0.10696351407568193,0.014549552139767379,1.765527436590269,508.09979455264545,121.34582698010793,0.2645889948254144,0.27249734458500807,0.7759424604154089,-0.24773642881721142
2025-08-29,50,252,2024-08-28,2025-08-29,0.11857611395409463,0.015057865705234699,1.6338342964217012,520.2581524111212,108.50371018076736,0.2555490998964781,0.26121275381989184,0.7606219156052397,-0.22862567565774797
2025-09-30,50,252,2024-09-27,2025-09-30,0.13068573494146365,0.01613014200931259,1.5579132198513577,565.1686181844718,96.58397421125676,0.24474819577925047,0.24744359487730666,0.7446688930364002,-0.22199513662544437
2025-10-31,50,252,2024-10-30,2025-10-31,0.12616228406900845,0.01596903464658167,1.6023739619288055,577.6820056115683,100.34256906517595,0.2412618880458482,0.24310391490119204,0.7509539581410206,-0.21911290817831908
2025-11-28,50,252,2024-11-26,2025-11-28,0.12451422942723736,0.015455521427615089,1.5820365270937398,588.1695184477129,102.36060520527266,0.248001213035453,0.25347771374142125,0.7543622970281819,-0.21004456010467157
2025-12-31,50,252,2024-12-30,2025-12-31,0.1292438222002726,0.015882585271389048,1.5314945155661066,550.5303983277995,96.42602192257358,0.24092167590354907,0.24786753229578237,0.7562029579915053,-0.22187842358132637
2026-01-30,50,252,2025-01-30,2026-01-30,0.13305134721668418,0.01658387285302008,1.5058240434797816,482.75288847749636,90.80050581825097,0.23425114242520767,0.23720906530406188,0.7490467912607371,-0.17914746675408855
2026-02-27,50,252,2025-02-27,2026-02-27,0.13188907431225,0.016740543588429226,1.521621911187757,489.6622326368705,90.8944146974697,0.22936395082992012,0.2321973102651063,0.7503737689737972,-0.170394026529673
2026-03-31,50,252,2025-03-31,2026-03-31,0.1442940059459339,0.017379234074428932,1.4213108422672485,486.62097187213084,81.7821335612544,0.22389777261193056,0.21926459914783103,0.7604306017274799,-0.15298393989694783
2026-04-30,50,252,2025-04-30,2026-04-30,0.13210649485615408,0.014730543141825852,0.6802602243535862,178.1900827363189,46.18025403435798,0.11507025431175077,0.10983357496091531,0.7301865497756374,-0.24142293436742068
2026-05-29,50,252,2025-05-29,2026-05-29,0.14073599926551147,0.015621198651622554,0.6142710750165428,152.1351259603024,39.322915527531556,0.09412389513803016,0.0891424263383387,0.7185549903638918,-0.23935995458827208
