model_name,as_of_date,observations,valid_ranking,unique_predictions,prediction_mean,prediction_std,target_mean,rmse,mae,information_coefficient,top_mean_target,bottom_mean_target,top_bottom_spread,top_quintile_precision,quintile_monotonicity,predicted_top_count,actual_top_count
ridge,2024-02-29,50,True,50,0.002705442595874902,0.005827835560336894,0.0030815722788372813,0.05975861846635224,0.044228859021783855,0.2107563025210084,0.007269156548914213,-0.03218511394617733,0.039454270495091544,0.3,0.3,10,10
constant,2024-03-28,50,False,1,0.002582479738365923,4.336808689942018e-19,-0.006932248930634657,0.058038458205071065,0.04378431824863086,,,,,,,0,10
elastic_net,2024-03-28,50,True,50,0.0026138445351061718,0.004504786025742486,-0.006932248930634657,0.057126477273292224,0.04299546288345221,0.20076830732292916,-0.0015883621454662155,-0.027857804972162458,0.026269442826696243,0.1,0.7999999999999999,10,10
equal_weight_composite,2024-03-28,50,True,50,0.010783126850128572,0.2806730358782455,-0.006932248930634657,0.2860008432842636,0.22462735278287382,0.12038415366146459,-0.014496513486642614,-0.023521567103856646,0.009025053617214032,0.1,0.6,10,10
momentum_3m,2024-03-28,50,True,50,-0.01831736697163202,0.8790103355484564,-0.006932248930634657,0.896271101029145,0.6623005106887085,-0.27827130852340937,-0.05299384753805203,0.011557814465381778,-0.0645516620034338,0.0,-0.49999999999999994,10,10
ridge,2024-03-28,50,True,50,0.0026047996281095827,0.006542880091881104,-0.006932248930634657,0.057487754356087384,0.04341609879497182,0.11394957983193275,-0.021084933168913078,-0.0407124832000688,0.019627550031155724,0.1,0.0,10,10
constant,2024-04-30,50,False,1,0.0025091818836624337,0.0,0.01725522171683788,0.07849997023741716,0.05739942658949797,,,,,,,0,10
elastic_net,2024-04-30,50,True,50,0.002647721437843578,0.004850311869201067,0.01725522171683788,0.07734110852846152,0.05679369872175438,0.20220888355342137,0.04044274651386128,-0.0065066273346128575,0.04694937384847414,0.3,0.9999999999999999,10,10
equal_weight_composite,2024-04-30,50,True,50,0.022975287638410676,0.32759745600303763,0.01725522171683788,0.32969812299065726,0.23772396277155763,0.04998799519807923,0.06278712750854654,0.0042837139125037615,0.058503413596042775,0.4,0.39999999999999997,10,10
momentum_3m,2024-04-30,50,True,50,-0.04136992556242075,0.9001627098043751,0.01725522171683788,0.8881389612764468,0.6687854707071385,0.09647058823529413,0.03439738193392113,0.03148565263132345,0.002911729302597685,0.2,0.49999999999999994,10,10
ridge,2024-04-30,50,True,50,0.002717872578223666,0.007603266915526576,0.01725522171683788,0.07672993495174614,0.05669543527036829,0.06333733493397359,0.028360338439478106,0.002693773242954911,0.025666565196523196,0.3,0.19999999999999998,10,10
constant,2024-05-31,50,False,1,0.002628101559736429,4.336808689942018e-19,0.011063191375175594,0.08571913597627724,0.058610955820477935,,,,,,,0,10
elastic_net,2024-05-31,50,True,50,0.002796551753393966,0.004619893826093376,0.011063191375175594,0.08432972829145614,0.057707665042249605,0.1884753901560624,0.021938643064315977,0.003396231341535272,0.018542411722780705,0.2,0.49999999999999994,10,10
equal_weight_composite,2024-05-31,50,True,50,0.01439082352551747,0.27730627898161947,0.011063191375175594,0.2822325717800853,0.22014858262258202,-0.03289315726290516,0.05179698032299428,0.047704684381648724,0.004092295941345553,0.3,0.39999999999999997,10,10
momentum_3m,2024-05-31,50,True,50,-0.03100242683268419,0.7605495434394709,0.011063191375175594,0.7724399273279106,0.6119474680688934,0.004465786314525811,0.012212617103289181,0.015796034765615384,-0.0035834176623262028,0.4,-0.6,10,10
ridge,2024-05-31,50,True,50,0.002755001732120104,0.006047962698122733,0.011063191375175594,0.08458570547372136,0.05769790972822528,0.06036014405762304,0.04459179647092769,0.008108971730724335,0.036482824740203354,0.3,0.39999999999999997,10,10
constant,2024-06-28,50,False,1,0.002628101559736429,4.336808689942018e-19,-0.004776018364507719,0.08007483746669009,0.0640771657015347,,,,,,,0,10
elastic_net,2024-06-28,50,True,50,0.002780191281635773,0.004746263769533685,-0.004776018364507719,0.08060353343903044,0.06421651699157557,-0.09243697478991596,-0.005552143663521436,-0.007299378892911523,0.0017472352293900865,0.3,-0.19999999999999998,10,10
equal_weight_composite,2024-06-28,50,True,50,0.008079108153696543,0.2952933977380546,-0.004776018364507719,0.3027181241599105,0.2196669764053694,0.13085234093637454,0.0023427364924261673,-0.04253727425306318,0.04488001074548935,0.3,0.3,10,10
momentum_3m,2024-06-28,50,True,50,-0.02676633605472432,0.798225628282118,-0.004776018364507719,0.8208399106294437,0.667469377671128,-0.19759903961584632,-0.04152500994794801,0.017090185028987515,-0.05861519497693553,0.2,-0.7,10,10
ridge,2024-06-28,50,True,50,0.0026018873218769923,0.006717959777435729,-0.004776018364507719,0.08108533473303868,0.06469497315765073,-0.09378151260504201,-0.016930239953713046,0.020880563318622158,-0.0378108032723352,0.2,-0.8999999999999998,10,10
constant,2024-07-31,50,False,1,0.0026362838604601997,0.0,-0.0072410313114792575,0.05328272510729839,0.03928575038863424,,,,,,,0,10
elastic_net,2024-07-31,50,True,50,0.0026366014239425735,0.000425332492496654,-0.0072410313114792575,0.05335518880778088,0.03937125728520068,-0.08398559423769507,-0.026647203916767927,-0.010504007550258343,-0.016143196366509585,0.2,-0.09999999999999999,10,10
equal_weight_composite,2024-07-31,50,True,50,0.00600738413122907,0.3282376030740836,-0.0072410313114792575,0.33250205802181815,0.25127716256538635,-0.04345738295318128,-0.0005468260855642559,-0.01638050278688017,0.015833676701315913,0.3,0.19999999999999998,10,10
momentum_3m,2024-07-31,50,True,50,0.029177399310269695,0.8421367380079765,-0.0072410313114792575,0.8497332565799095,0.6676203953517208,-0.011284513805522207,-0.005230113567015904,-0.017291127726806244,0.012061014159790339,0.2,0.19999999999999998,10,10
